start_height,end_height,wallet_era,axis,value,share,in_set_lt10,in_set_lt100
939969,940112,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.03161144288425787,0.005321665864141281,0.033836414574495884
940113,940256,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.02784839291885872,0.005321665864141281,0.033836414574495884
940257,940400,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.02518694436937959,0.005321665864141281,0.033836414574495884
940401,940544,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.02907158487027196,0.005321665864141281,0.033836414574495884
940545,940688,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.027434509057063693,0.005321665864141281,0.033836414574495884
940689,940832,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.022551957027337963,0.005321665864141281,0.033836414574495884
940833,940976,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.029156092047175244,0.005321665864141281,0.033836414574495884
940977,941120,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.029889263818259588,0.005321665864141281,0.033836414574495884
941121,941264,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.024404433372615122,0.005321665864141281,0.033836414574495884
941265,941408,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.025290077830858165,0.005321665864141281,0.033836414574495884
941409,941552,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.023488635135022747,0.005321665864141281,0.033836414574495884
941553,941696,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.016365731020597133,0.005321665864141281,0.033836414574495884
941697,941840,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.016409332726749423,0.005321665864141281,0.033836414574495884
941841,941984,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.024744044006812443,0.005321665864141281,0.033836414574495884
941985,942128,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.021975821975821975,0.005321665864141281,0.033836414574495884
942129,942272,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.020019303833218052,0.005321665864141281,0.033836414574495884
942273,942416,BTCPay Server (btcpayserver ≥v1.13.0),input_order,Other,0.01767379521314458,0.005321665864141281,0.033836414574495884
